 *tel  csi     Z    A     CsICh  errCsICh     CsIV         errCsIV             CsIE        errCsIE            ESi        errESi
    5    0    1    1        84       0.5      0.0149278    0.000149278          4.19583      0.0419583        12.8032       0.128032
    5    0    1    1        89       0.5      0.0199709    0.000199709          4.88744      0.0488744        12.3704       0.123704
    5    0    1    1        94       0.5      0.0250537    0.000250537          5.57939      0.0557939         11.961        0.11961
    5    0    1    1        99       0.5      0.0301564    0.000301564          6.27409      0.0627409        11.5723       0.115723
    5    0    1    1       104       0.5      0.0352464    0.000352464          6.97313      0.0697313        11.2022       0.112022
    5    0    1    1       109       0.5      0.0402838    0.000402838          7.67752      0.0767752        10.8494       0.108494
    5    0    1    1       114       0.5      0.0453225    0.000453225          8.38784      0.0838784        10.5125       0.105125
    5    0    1    1       119       0.5      0.0504392    0.000504392          9.10427      0.0910427        10.1908       0.101908
    5    0    1    1       124       0.5      0.0554669    0.000554669          9.82649      0.0982649        9.88329      0.0988329
    5    0    1    1       129       0.5      0.0603461    0.000603461          10.5496       0.105496        9.58943      0.0958943
    5    0    1    1       134       0.5      0.0656076    0.000656076          11.2785       0.112785        9.30855      0.0930855
    5    0    1    1       139       0.5      0.0712965    0.000712965          12.0136       0.120136        9.04007      0.0904007
    5    0    1    1       144       0.5      0.0765171    0.000765171          12.7537       0.127537        8.78345      0.0878345
    5    0    1    1       149       0.5      0.0812893    0.000812893          13.4994       0.134994        8.53815      0.0853815
    5    0    1    1       154       0.5      0.0861639    0.000861639          14.2502       0.142502        8.30366      0.0830366
    5    0    1    1       159       0.5      0.0911461    0.000911461          15.0062       0.150062        8.07948      0.0807948
    5    0    1    1       164       0.5      0.0960769    0.000960769          15.7671       0.157671        7.86513      0.0786513
    5    0    1    1       169       0.5       0.100982     0.00100982          16.5328       0.165328        7.66015      0.0766015
    5    0    1    1       174       0.5       0.105909     0.00105909          17.3031       0.173031        7.46408      0.0746408
    5    0    1    1       179       0.5       0.110859     0.00110859          18.0779       0.180779        7.27649      0.0727649
    5    0    1    1       184       0.5       0.115827     0.00115827           18.857        0.18857        7.09696      0.0709696
    5    0    1    1       189       0.5       0.120808     0.00120808          19.6403       0.196403        6.92509      0.0692509
    5    0    1    1       194       0.5       0.125797     0.00125797          20.4276       0.204276        6.76049      0.0676049
    5    0    1    1       199       0.5       0.130789     0.00130789          21.2188       0.212188         6.6028       0.066028
    5    0    1    1       204       0.5       0.135778     0.00135778          22.0138       0.220138        6.45167      0.0645167
    5    0    1    1       209       0.5        0.14076      0.0014076          22.8123       0.228123        6.30675      0.0630675
    5    0    1    1       214       0.5       0.145729     0.00145729          23.6144       0.236144        6.16774      0.0616774
    5    0    1    1       219       0.5       0.150681     0.00150681          24.4199       0.244199        6.03433      0.0603433
    5    0    1    1       224       0.5       0.155614     0.00155614          25.2288       0.252288        5.90625      0.0590625
    5    0    1    1       229       0.5        0.16053      0.0016053          26.0408       0.260408         5.7832       0.057832
    5    0    1    1       234       0.5       0.165431     0.00165431          26.8559       0.268559        5.66495      0.0566495
    5    0    1    1       239       0.5        0.17032      0.0017032          27.6741       0.276741        5.55125      0.0555125
    5    0    1    1       244       0.5         0.1752       0.001752          28.4952       0.284952        5.44188      0.0544188
    5    0    1    1       249       0.5       0.180074     0.00180074          29.3192       0.293192        5.33661      0.0533661
    5    0    1    1       254       0.5       0.184944     0.00184944           30.146        0.30146        5.23524      0.0523524
    5    0    1    1       259       0.5       0.189814     0.00189814          30.9755       0.309755        5.13758      0.0513758
    5    0    1    1       264       0.5       0.194685     0.00194685          31.8076       0.318076        5.04345      0.0504345
    5    0    1    1       269       0.5       0.199561     0.00199561          32.6424       0.326424        4.95268      0.0495268
    5    0    1    1       274       0.5       0.204443     0.00204443          33.4798       0.334798        4.86511      0.0486511
    5    0    1    1       279       0.5       0.209332     0.00209332          34.3196       0.343196        4.78058      0.0478058
    5    0    1    1       284       0.5       0.214227     0.00214227          35.1619       0.351619        4.69895      0.0469895
    5    0    1    1       289       0.5       0.219128     0.00219128          36.0067       0.360067        4.62008      0.0462008
    5    0    1    1       294       0.5       0.224037     0.00224037          36.8537       0.368537        4.54385      0.0454385
