 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    5         0      0.0301564    0.000301564        6.39459      0.0639459
    5         0       0.130789     0.00130789        20.8333       0.208333
    5         0       0.219128     0.00219128        34.9214       0.349214
    5         0        0.30338      0.0030338        48.7292       0.487292
    5         0       0.386852     0.00386852        62.8619       0.628619
    5         0       0.466275     0.00466275        76.4022       0.764022
    5         0       0.545492     0.00545492        90.1502       0.901502
    5         0        0.62885      0.0062885        104.973        1.04973
    5         0       0.703359     0.00703359        118.235        1.18235
    5         0       0.781804     0.00781804        132.568        1.32568
    5         0       0.856095     0.00856095        146.182        1.46182
    5         0       0.935755     0.00935755        160.893        1.60893
    5         0        1.00978      0.0100978        174.868        1.74868
    5         0        1.08071      0.0108071        188.072        1.88072
    5         0         1.1568       0.011568        202.397        2.02397
    5         0         1.2345       0.012345        216.907        2.16907
    5         0        1.30774      0.0130774         230.62         2.3062
    5         0        1.38269      0.0138269        244.502        2.44502
    5         0        1.45794      0.0145794        258.558        2.58558
    5         0        1.53445      0.0153445        272.791        2.72791
    5         0        1.60561      0.0160561        286.164        2.86164
    5         0        1.68368      0.0168368        300.747        3.00747
