 *tel    numcsi   CsIInChannel     errCsIInChannel           CsIE       errCsIE
    0         0             92            0.5        13.0537       0.130537
    0         0            152            0.5        26.8553       0.268553
    0         0            218            0.5        39.3627       0.393627
    0         0            290            0.5        52.0447       0.520447
    0         0            368            0.5        65.3853       0.653853
    0         0            446            0.5         78.534        0.78534
    0         0            524            0.5        91.5579       0.915579
    0         0            602            0.5         104.48         1.0448
    0         0            680            0.5        117.314        1.17314
    0         0            758            0.5        130.068        1.30068
    0         0            842            0.5        143.723        1.43723
    0         0            920            0.5        156.336        1.56336
    0         0           1004            0.5        169.858        1.69858
    0         0           1082            0.5        182.363        1.82363
    0         0           1166            0.5        195.783        1.95783
    0         0           1244            0.5        208.207        2.08207
    0         0           1328            0.5         221.55         2.2155
    0         0           1412            0.5         234.86         2.3486
    0         0           1490            0.5        247.196        2.47196
    0         0           1574            0.5        260.459        2.60459
    0         0           1658            0.5        273.701        2.73701
    0         0           1742            0.5        286.926        2.86926
    0         1             76            0.5        11.7644       0.117644
    0         1            148            0.5        26.7989       0.267989
    0         1            226            0.5        42.1429       0.421429
    0         1            310            0.5        57.9944       0.579944
    0         1            388            0.5        72.2615       0.722615
    0         1            472            0.5        87.2581       0.872581
    0         1            562            0.5        102.999        1.02999
    0         1            646            0.5        117.452        1.17452
    0         1            736            0.5        132.736        1.32736
    0         1            826            0.5        147.853        1.47853
    0         1            916            0.5        162.836        1.62836
    0         1           1006            0.5        177.713        1.77713
    0         1           1096            0.5        192.502        1.92502
    0         1           1186            0.5        207.221        2.07221
    0         1           1282            0.5        222.856        2.22856
    0         1           1372            0.5        237.467        2.37467
    0         1           1462            0.5        252.038        2.52038
    0         1           1558            0.5        267.547        2.67547
    0         1           1648            0.5         282.06         2.8206
    0         1           1744            0.5        297.515        2.97515
    0         1           1840            0.5         312.95         3.1295
    0         1           1930            0.5        327.407        3.27407
    0         2             99            0.5        13.9617       0.139617
    0         2            171            0.5        28.4784       0.284784
    0         2            249            0.5        43.2517       0.432517
    0         2            333            0.5        58.5912       0.585912
    0         2            417            0.5         73.508        0.73508
    0         2            501            0.5        88.0991       0.880991
    0         2            591            0.5        103.445        1.03445
    0         2            681            0.5        118.548        1.18548
    0         2            771            0.5        133.454        1.33454
    0         2            861            0.5        148.194        1.48194
    0         2            957            0.5        163.764        1.63764
    0         2           1047            0.5         178.24         1.7824
    0         2           1143            0.5         193.57         1.9357
    0         2           1239            0.5          208.8          2.088
    0         2           1335            0.5        223.946        2.23946
    0         2           1425            0.5        238.078        2.38078
    0         2           1521            0.5         253.09         2.5309
    0         2           1623            0.5        268.974        2.68974
    0         2           1719            0.5        283.871        2.83871
    0         2           1815            0.5        298.721        2.98721
    0         2           1911            0.5        313.529        3.13529
    0         3             45            0.5        13.6795       0.136795
    0         3            117            0.5        28.7551       0.287551
    0         3            189            0.5        42.6703       0.426703
    0         3            261            0.5        56.1221       0.561221
    0         3            339            0.5        70.3301       0.703301
    0         3            417            0.5        84.2499       0.842499
    0         3            501            0.5        98.9889       0.989889
