 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
    0         0      0.0307874    0.000307874        9.75159      0.0975159
    0         0       0.135736     0.00135736        24.9643       0.249643
    0         0       0.246542     0.00246542        39.9239       0.399239
    0         0       0.350168     0.00350168        54.0652       0.540652
    0         0       0.460792     0.00460792        69.2748       0.692748
    0         0       0.572337     0.00572337        84.5663       0.845663
    0         0       0.682854     0.00682854        99.9228       0.999228
    0         0       0.787948     0.00787948        114.379        1.14379
    0         0       0.899336     0.00899336        129.869        1.29869
    0         0        1.00435      0.0100435        144.466        1.44466
    0         0        1.11128      0.0111128        159.146        1.59146
    0         0        1.22749      0.0122749        174.905        1.74905
    0         0        1.34005      0.0134005        189.783        1.89783
    0         0        1.45394      0.0145394        204.764        2.04764
    0         0        1.56961      0.0156961        219.857        2.19857
    0         0         1.6807       0.016807        234.046        2.34046
    0         0        1.79921      0.0179921        249.364        2.49364
    0         0        1.91862      0.0191862        264.803        2.64803
    0         0        2.03124      0.0203124        279.321        2.79321
    0         0         2.1525       0.021525        294.999        2.94999
    0         0        2.26579      0.0226579        309.739        3.09739
    0         1      0.0204121    0.000204121        5.97743      0.0597743
    0         1       0.124878     0.00124878        21.3144       0.213144
    0         1       0.224087     0.00224087        36.0017       0.360017
    0         1       0.332729     0.00332729        51.3844       0.513844
    0         1       0.441065     0.00441065        66.5555       0.665555
    0         1       0.549587     0.00549587        81.6072       0.816072
    0         1       0.657807     0.00657807           96.6          0.966
    0         1       0.766937     0.00766937        111.576        1.11576
    0         1       0.875235     0.00875235        126.565        1.26565
    0         1       0.985766     0.00985766        141.593        1.41593
    0         1        1.09658      0.0109658        156.676        1.56676
    0         1        1.21011      0.0121011        171.831        1.71831
    0         1        1.31901      0.0131901        186.047        1.86047
    0         1        1.43746      0.0143746        201.368        2.01368
    0         1        1.55776      0.0155776        216.788        2.16788
    0         1        1.67223      0.0167223         231.27         2.3127
    0         1        1.79706      0.0179706        246.892        2.46892
    0         1        1.91328      0.0191328        261.572        2.61572
    0         1        2.03087      0.0203087        276.352        2.76352
    0         1        2.14878      0.0214878         291.23         2.9123
    0         1        2.26658      0.0226658        306.208        3.06208
    0         2      0.0348195    0.000348195        7.92195      0.0792195
    0         2       0.130461     0.00130461        21.7134       0.217134
    0         2       0.232141     0.00232141        35.9357       0.359357
    0         2       0.333435     0.00333435        49.8648       0.498648
    0         2       0.434969     0.00434969        63.6122       0.636122
    0         2       0.536764     0.00536764        77.2416       0.772416
    0         2       0.645628     0.00645628        91.7595       0.917595
    0         2       0.748483     0.00748483        105.263        1.05263
    0         2       0.857301     0.00857301        119.707        1.19707
    0         2       0.960538     0.00960538        133.187        1.33187
    0         2        1.07173      0.0107173        147.643        1.47643
    0         2        1.17748      0.0117748         161.16         1.6116
    0         2        1.29344      0.0129344        175.683        1.75683
    0         2        1.40434      0.0140434        189.283        1.89283
    0         2        1.52561      0.0152561        203.909        2.03909
    0         2        1.64077      0.0164077        217.617        2.17617
    0         2        1.75704      0.0175704        231.388        2.31388
    0         2        1.87412      0.0187412        245.221        2.45221
    0         2        1.99147      0.0199147        259.123        2.59123
    0         2        2.10943      0.0210943        273.091        2.73091
    0         2        2.22826      0.0222826        287.133        2.87133
    0         2        2.34774      0.0234774        301.244        3.01244
    0         3      0.0233842    0.000233842        7.03111      0.0703111
    0         3       0.113712     0.00113712        19.8504       0.198504
    0         3       0.201241     0.00201241         31.995        0.31995
    0         3       0.288357     0.00288357        43.9303       0.439303
    0         3       0.376832     0.00376832        55.7501       0.557501
    0         3       0.463916     0.00463916        67.5038       0.675038
    0         3       0.551278     0.00551278        79.2217       0.792217
    0         3         0.6451       0.006451        91.7629       0.917629
    0         3       0.733756     0.00733756        103.471        1.03471
    0         3       0.820965     0.00820965        115.197        1.15197
    0         3       0.914962     0.00914962        127.789        1.27789
    0         3        1.00416      0.0100416        139.578        1.39578
    0         3        1.09403      0.0109403         151.41         1.5141
    0         3        1.18522      0.0118522        163.288        1.63288
    0         3         1.2782       0.012782        175.221        1.75221
    0         3        1.37291      0.0137291        187.209        1.87209
    0         3        1.46937      0.0146937        199.256        1.99256
    0         3        1.56719      0.0156719        211.367        2.11367
    0         3        1.66615      0.0166615        223.545        2.23545
    0         3          1.766        0.01766        235.787        2.35787
    0         3        1.85954      0.0185954        247.216        2.47216
    1         0      0.0337714    0.000337714        8.83719      0.0883719
    1         0       0.126797     0.00126797        22.2845       0.222845
    1         0       0.238388     0.00238388         36.935        0.36935
    1         0       0.343582     0.00343582        50.6422       0.506422
    1         0       0.448495     0.00448495        64.4253       0.644253
    1         0       0.554857     0.00554857        78.2536       0.782536
    1         0       0.660532     0.00660532         92.112        0.92112
    1         0       0.772936     0.00772936        106.925        1.06925
    1         0       0.878459     0.00878459        120.849        1.20849
    1         0       0.984978     0.00984978        134.816        1.34816
    1         0        1.09287      0.0109287        148.838        1.48838
    1         0        1.20357      0.0120357        162.922        1.62922
    1         0        1.30848      0.0130848        176.132        1.76132
    1         0        1.42454      0.0142454        190.361        1.90361
    1         0        1.54153      0.0154153        204.673        2.04673
    1         0         1.6523       0.016523        218.114        2.18114
    1         0        1.77269      0.0177269          232.6          2.326
    1         0        1.88624      0.0188624        246.211        2.46211
    1         0        2.00788      0.0200788        260.887        2.60887
    1         0        2.12216      0.0212216        274.677        2.74677
    1         0        2.23687      0.0223687        288.559        2.88559
    1         1      0.0333099    0.000333099         6.8377       0.068377
