 *tel    numcsi   CsIInVoltage     errCsIInVoltage           CsIE       errCsIE
   11         1       0.036405     0.00036405        6.80836      0.0680836
   11         1      0.0737136    0.000737136        13.5248       0.135248
   11         1       0.116762     0.00116762        20.8981       0.208981
   11         1       0.156896     0.00156896         27.536        0.27536
   11         1       0.203664     0.00203664        34.9209       0.349209
   11         1       0.247484     0.00247484         41.693        0.41693
   11         1       0.294141     0.00294141        48.7874       0.487874
   11         1       0.341353     0.00341353        55.7701       0.557701
   11         1       0.388598     0.00388598        62.6092       0.626092
   11         1       0.438523     0.00438523        69.7481       0.697481
   11         1       0.488091     0.00488091         76.803        0.76803
   11         1        0.53833      0.0053833        83.7874       0.837874
   11         1       0.588624     0.00588624        90.7129       0.907129
   11         1       0.641433     0.00641433        97.9937       0.979937
   11         1       0.691137     0.00691137        104.829        1.04829
   11         1       0.741443     0.00741443        111.632        1.11632
   11         1       0.794515     0.00794515        118.807        1.18807
   11         1       0.847179     0.00847179        125.958        1.25958
   11         1       0.897254     0.00897254        132.694        1.32694
   11         1       0.951037     0.00951037        139.812        1.39812
